,LINIEN_TEXT,HALTESTELLEN_NAME,shape,mean,std
2112,165,"Zürich, Rote Fabrik",0.06301190060842216,-22.441452318834667,23.756187543932683
2113,17,"Zürich, Hardturm",0.04279794417186836,-44.25152161129546,45.1901674687242
2114,17,"Zürich, Sternen Oerlikon",0.15727202755180913,-12.667148429227945,14.34033871859777
2115,201,"Waldegg, Katholische Kirche",0.09350892521786251,-10.772907764507249,12.182406454971446
2116,210,"Zürich, Sihlcity",0.28322735598043725,-7.332060506741262,7.5715894216996436
2117,302,"Weiningen ZH, Aegelsee",0.1266167647504463,-10.818607129718568,12.73638331606184
2118,32,"Zürich, Rotbuchstrasse",0.040409025395857195,-55.81115783371733,57.53874049781987
2119,5,"Zürich, Saalsporthalle",0.06552888736436083,-19.586551867174848,20.502177631754734
2120,764,"Zürich Flughafen, Werkhof",0.24550399457384683,-2.3890255268763214,3.4174170422595065
2121,781,"Glattpark, Lindbergh-Allee",2.2948792120550943,-11.000116304424818,1.962128683475386
2122,8,"Zürich, Tunnelstrasse",0.083023126387541,-37.287630326399466,38.409176139105256
2123,961,"Erlenbach ZH, Rankstrasse",0.41772695414640026,-1.038893787855596,2.7044391628925535
2124,N16,"Pfaffhausen, Müseren",0.48021962449105426,-1.7767411578530812,2.6659243562254216
2125,N7,"Zürich, Bucheggplatz",0.0008551029490432263,-4636.582571622126,4638.465177943523
2126,8,"Zürich, Sihlstrasse",0.31312026290219486,-2.980594477313801,3.6967063875873545
2127,33,"Zürich, Jugendherberge",0.3617281303586448,-5.934812618344036,8.326507673344349
2128,17,"Zürich, Opernhaus",0.03425475256933765,-53.211786929707074,54.23005096062459
2129,9,"Zürich, Sihlquai/HB",0.2448794018129158,-4.53905906193979,5.538154212064794
2130,15,"Zürich, Langmauerstrasse",23.43537846091278,-3.057729131715782e-22,1.0244295150116653
2131,31,"Zürich, Nürenbergstrasse",2.5591104227730903,-5.924112773085731e-09,4.148441475227035e-06
2132,4,"Zürich, Alte Trotte",0.03201157698183622,-87.0396955077596,88.46436305670275
2133,10,"Zürich, Schaffhauserplatz",0.13037152151834808,-12.227292578426466,13.037598879972595
2134,152,"Adliswil, Rütistrasse/Wacht",0.04701605358087227,-20.382700326150257,20.877093841621637
2135,2,"Zürich, Lochergut",0.03468309614016471,-39.69992367742192,40.468312474258
2136,229,"Bonstetten-Wettswil, Bahnhof",0.0867411070047394,-24.053836730271534,25.679852978624613
2137,245,"Waldegg, Post",0.23896660144996573,-3.2192825349818097,4.126037177877368
2138,4,"Zürich, Rathaus",0.03027508204736224,-58.37308755453077,59.475330487452425
2139,743,"Fällanden, Gemeindehaus",0.08038128219619607,-19.433242258540588,20.62773583924875
2140,78,"Zürich, Rautistrasse",0.06699015866036984,-18.535837385733714,19.622271749240085
2141,787,"Zürich, Leutschenbach",0.40903603345688555,-2.5658009234628434,3.6974062628072097
2142,83,"Zürich, Hubertus",4.104057201051097,-91.00000006037364,1.2460773189503507
2143,IC2,Thalwil,0.8320902356720165,-3.72078724477823,5.233372623756669
2144,N12,"Zürich, Mittelleimbach",0.0034497358758273132,-692.6383120178227,695.173098784263
2145,N13,"Zürich, Fischerweg",0.022082364844069016,-194.05349266475548,194.62383788868533
2146,N15,"Rüschlikon, Moosstrasse",0.6386191093409217,-1.2130882795639526,2.5246690513608296
2147,33,"Zürich, Herdernstrasse",0.20152863332864757,-8.598649000615675,9.531642401389014
2148,161,"Zürich, Billoweg",0.36679871449518486,-1.82083501224078,2.9635101401994417
2149,9,"Zürich, Glattwiesen",0.060625501095755915,-59.94602816719029,61.39610063919372
2150,80,"Zürich, Baslerstrasse",0.5900968811662654,-0.6560631655033835,1.883195621380258
2151,61,"Zürich, Aubrücke",2.3846359686209615,-13.000172319418251,1.4608354317535275
